Models importing done.
Loading Tracker...
Loading Pose Estimator...
Loading Assault Detector...
[AssaultDetector] Loading VGG19 + BiLSTM assault model ...
[AssaultDetector]  Loaded
All models loaded!
Frame 206 - PoseTrack 29: conf=0.517, is_assault=False
Frame 207 - PoseTrack 29: conf=0.517, is_assault=False
Frame 208 - PoseTrack 29: conf=0.518, is_assault=False
Frame 209 - PoseTrack 29: conf=0.518, is_assault=False
Frame 210 - PoseTrack 29: conf=0.520, is_assault=False
Frame 211 - PoseTrack 29: conf=0.520, is_assault=False
Frame 212 - PoseTrack 29: conf=0.520, is_assault=False
Frame 220 - PoseTrack 29: conf=0.521, is_assault=False
Frame 221 - PoseTrack 29: conf=0.522, is_assault=False
Frame 222 - PoseTrack 29: conf=0.524, is_assault=False
Frame 222 - PoseTrack 32: conf=0.526, is_assault=False
Frame 223 - PoseTrack 32: conf=0.527, is_assault=False
Frame 224 - PoseTrack 32: conf=0.527, is_assault=False
Frame 225 - PoseTrack 32: conf=0.528, is_assault=False
Frame 226 - PoseTrack 32: conf=0.527, is_assault=False
Frame 227 - PoseTrack 32: conf=0.530, is_assault=False
Frame 228 - PoseTrack 32: conf=0.530, is_assault=False
Frame 229 - PoseTrack 32: conf=0.535, is_assault=False
Frame 230 - PoseTrack 32: conf=0.531, is_assault=False
Frame 231 - PoseTrack 32: conf=0.530, is_assault=False
Frame 232 - PoseTrack 32: conf=0.529, is_assault=False
Frame 233 - PoseTrack 32: conf=0.530, is_assault=False
Frame 234 - PoseTrack 32: conf=0.531, is_assault=False
Frame 235 - PoseTrack 32: conf=0.531, is_assault=False
Frame 237 - PoseTrack 32: conf=0.530, is_assault=False
Frame 248 - PoseTrack 35: conf=0.517, is_assault=False
Frame 249 - PoseTrack 35: conf=0.516, is_assault=False
Frame 250 - PoseTrack 35: conf=0.516, is_assault=False
Frame 251 - PoseTrack 35: conf=0.521, is_assault=False
Frame 252 - PoseTrack 35: conf=0.520, is_assault=False
Frame 253 - PoseTrack 35: conf=0.515, is_assault=False
Frame 254 - PoseTrack 35: conf=0.515, is_assault=False
Frame 255 - PoseTrack 35: conf=0.515, is_assault=False
Frame 256 - PoseTrack 35: conf=0.522, is_assault=False
Frame 257 - PoseTrack 35: conf=0.519, is_assault=False
Frame 258 - PoseTrack 35: conf=0.518, is_assault=False
Frame 259 - PoseTrack 35: conf=0.517, is_assault=False
Frame 260 - PoseTrack 35: conf=0.519, is_assault=False
Frame 261 - PoseTrack 35: conf=0.520, is_assault=False
Frame 262 - PoseTrack 35: conf=0.521, is_assault=False
Frame 263 - PoseTrack 35: conf=0.521, is_assault=False
Frame 264 - PoseTrack 35: conf=0.522, is_assault=False
Frame 265 - PoseTrack 35: conf=0.523, is_assault=False
Frame 266 - PoseTrack 35: conf=0.523, is_assault=False
Frame 267 - PoseTrack 35: conf=0.524, is_assault=False
Frame 268 - PoseTrack 35: conf=0.527, is_assault=False
Frame 269 - PoseTrack 35: conf=0.527, is_assault=False
Frame 270 - PoseTrack 35: conf=0.525, is_assault=False
Frame 271 - PoseTrack 35: conf=0.528, is_assault=False
Frame 272 - PoseTrack 35: conf=0.528, is_assault=False
Frame 273 - PoseTrack 35: conf=0.530, is_assault=False
Frame 274 - PoseTrack 35: conf=0.530, is_assault=False
Frame 275 - PoseTrack 35: conf=0.528, is_assault=False
Frame 276 - PoseTrack 35: conf=0.527, is_assault=False
Frame 277 - PoseTrack 35: conf=0.525, is_assault=False
Frame 278 - PoseTrack 35: conf=0.526, is_assault=False
Frame 279 - PoseTrack 35: conf=0.526, is_assault=False
Frame 280 - PoseTrack 35: conf=0.524, is_assault=False
Frame 281 - PoseTrack 35: conf=0.525, is_assault=False
Frame 282 - PoseTrack 35: conf=0.525, is_assault=False
Frame 283 - PoseTrack 35: conf=0.525, is_assault=False
Frame 284 - PoseTrack 35: conf=0.524, is_assault=False
Frame 285 - PoseTrack 35: conf=0.524, is_assault=False
Frame 286 - PoseTrack 35: conf=0.523, is_assault=False
Frame 287 - PoseTrack 35: conf=0.527, is_assault=False
Frame 288 - PoseTrack 35: conf=0.530, is_assault=False
Frame 289 - PoseTrack 35: conf=0.531, is_assault=False
Frame 290 - PoseTrack 35: conf=0.531, is_assault=False
